Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
2028,2,3,1967,1.784789510533302,2,2,434165.8966340506
3519,5,3,1966,4.009947471097449,0,10,788284.6902015205
4507,2,3,2014,4.122336786796645,0,7,985499.1963159838
3371,4,2,2000,1.5803183321940493,0,1,736289.1245550752
2871,5,1,1974,3.4269136197073893,2,6,636552.7524853058
888,1,3,1972,3.2865756442411174,0,3,215993.8951157028
697,2,3,2015,2.327053107677498,1,7,216591.97111921213
4201,3,1,1996,2.660213197895385,0,8,876992.62965777
1743,4,3,2008,2.5807602961064333,0,5,435500.9447943791
3568,2,3,2022,3.9462306765570943,1,2,818706.7764361517
1775,1,2,1955,4.241154677998865,2,1,406069.2709127523
1791,2,1,1984,2.430432193284007,0,5,355281.41848528635
1489,4,2,2009,0.7961529231075941,0,10,347769.0613211003
2743,4,2,1981,2.2014534640435284,1,5,606157.4972713309
2786,1,2,2015,1.622763858572338,2,9,617979.8529750025
1240,1,2,1951,3.5916761776211623,0,8,262398.4460460842
802,4,2,1990,3.6351280014653686,1,4,237185.9132691445
1743,1,3,2021,2.189484993505607,0,2,381738.0175438036
2490,5,1,1950,4.16874348990752,1,10,567376.4006946473
3209,2,3,1951,4.671123558489986,0,3,694271.1623037981
1353,5,3,1996,1.9026042283176865,1,1,354054.70019158506
1346,4,2,2018,1.6672478033443832,1,8,351280.4162027617
2698,2,3,1983,1.1105974300652568,2,4,571367.8252792631
3652,1,3,1994,2.81015694601212,1,9,793995.2848757812
1036,4,3,1967,1.9321791862357665,1,10,238220.4845448509
3592,1,2,2016,3.634822720478255,0,9,777977.3901185812
4636,4,1,1969,3.6486734274476422,2,7,985351.0239129456
2179,1,2,1977,1.757371478792324,0,1,443005.62363881344
1454,4,1,2010,2.9946050654736607,1,3,369854.9244932172
1167,1,1,1967,0.9443174309719964,2,10,219652.59801356145
4570,4,3,1967,2.8080367498346424,2,7,972537.496467423
1887,2,1,2014,1.8825753283147424,0,2,439793.0780082437
1824,2,1,2017,2.0364137132193423,0,5,427947.1030973768
